,SIO2,CAO,AL2O3,MGO,1726
418,44.2,2.66,2.55,48.38,LHERZOLITE
419,43.82,1.18,2.83,51.61092,LHERZOLITE
420,44.15,2.79,2.56,48.15,LHERZOLITE
421,44.94,2.66,2.56,49.69,LHERZOLITE
422,44.2,2.73,2.57,47.44372,LHERZOLITE
423,44.6,2.49,2.57,48.10221,LHERZOLITE
424,44.3,2.67,2.57,48.4,LHERZOLITE
425,44.45,2.33,2.57,49.324329999999996,LHERZOLITE
426,45.1,1.6,2.99,49.39,LHERZOLITE
427,43.99,2.43,2.98,48.37,LHERZOLITE
428,45.05,2.15,2.58,48.87362,LHERZOLITE
429,43.03,2.3,2.58,50.87,LHERZOLITE
430,44.82,2.37,2.58,49.84,LHERZOLITE
431,44.1,2.36,2.94,52.80291999999999,LHERZOLITE
432,44.34,1.82,2.59,50.14716,LHERZOLITE
433,43.81,3.41,3.009,49.63,LHERZOLITE
434,44.48,2.27,2.95,49.49,LHERZOLITE
435,43.84,2.34,3.09,50.05021,LHERZOLITE
436,43.43,2.32,2.6,51.35,LHERZOLITE
437,44.77,2.12,2.61,48.11291,LHERZOLITE
438,44.72,2.38,2.61,49.26605,LHERZOLITE
439,41.6,4.61,2.72,48.26981,LHERZOLITE
440,44.51,2.68,2.62,49.42,LHERZOLITE
441,44.05,2.13,3.02,52.560190000000006,LHERZOLITE
442,44.23,2.78,3.11,48.51688,LHERZOLITE
443,44.75,2.58,3.02,47.14497,LHERZOLITE
444,43.81,2.27,2.64,49.75999,LHERZOLITE
445,43.3,2.21,2.64,50.99,LHERZOLITE
446,44.5,2.56,2.65,48.44,LHERZOLITE
447,44.08,2.17,2.65,49.88514,LHERZOLITE
448,45.61,2.71,2.65,48.64,LHERZOLITE
449,46.92,3.55,2.65,46.27608,LHERZOLITE
450,43.3,1.97,2.66,48.83817,LHERZOLITE
451,44.17,2.31,2.66,48.604729999999996,LHERZOLITE
452,43.52,2.8,3.0039999999999996,49.64,LHERZOLITE
453,44.79,2.26,3.0,49.14,LHERZOLITE
454,43.86,2.63,3.0,50.11,LHERZOLITE
455,43.08936468,2.1956869180000003,2.666199114,50.80562485,LHERZOLITE
456,45.6,2.71,2.67,47.07,LHERZOLITE
457,42.47,2.42,2.67,50.91,LHERZOLITE
458,44.75,2.19,3.18,48.265240000000006,LHERZOLITE
459,43.48,3.56,2.68,49.03,LHERZOLITE
460,44.36,2.32,2.68,50.1,LHERZOLITE
461,46.11,3.05,2.69,46.42123,LHERZOLITE
462,43.87,2.73,3.04,49.96,LHERZOLITE
463,44.3,2.64,2.7,47.34949,LHERZOLITE
464,44.3,2.31,2.7,48.26614,LHERZOLITE
465,44.26,2.47,2.7,49.31,LHERZOLITE
466,45.26,2.48,2.71,47.816140000000004,LHERZOLITE
467,45.41,2.52,3.1,47.510690000000004,LHERZOLITE
468,43.92,2.34,3.16,49.34,LHERZOLITE
469,45.7,2.58,2.71,48.1086,LHERZOLITE
470,43.98,2.27,2.71,50.23453,LHERZOLITE
471,43.94,2.49,3.04,51.51343,LHERZOLITE
472,42.5,4.98,2.72,45.42468,HARZBURGITE
473,44.6,3.07,2.72,47.66,LHERZOLITE
474,44.31,2.16,2.95,48.63,LHERZOLITE
475,44.73,2.18,3.1180000000000003,49.7,LHERZOLITE
476,43.56,1.42,2.73,50.16372,LHERZOLITE
477,45.31,2.28,3.13,48.1,LHERZOLITE
478,44.48,2.12,3.15,49.04688,LHERZOLITE
479,46.45,3.06,2.73,47.55,LHERZOLITE
480,43.54,3.3,2.74,47.39618,LHERZOLITE
481,43.21,2.01,3.136,49.37,LHERZOLITE
482,43.78,2.68,2.74,48.644940000000005,LHERZOLITE
483,44.2,2.61,2.74,48.94301,LHERZOLITE
484,44.5,2.65,2.74,48.8,LHERZOLITE
485,44.31,1.93,2.74,49.73352,LHERZOLITE
486,45.82,2.82,3.071,47.14,LHERZOLITE
487,46.68,6.39,2.74,43.48,LHERZOLITE
488,44.6,2.42,3.12,48.12,LHERZOLITE
489,45.03,2.72,3.15,47.999309999999994,LHERZOLITE
490,43.06,1.7,2.76,49.66708,LHERZOLITE
491,44.75,2.12,3.16,47.89,LHERZOLITE
492,44.45,2.42,2.76,48.7,LHERZOLITE
