Rock Type,TiO2,Al2O3,FeO,MnO,CaO
PERIDOTITE,0.05,1.25,2.22,0.06,21.76
PERIDOTITE,0.07,10.5,6.73,0.34,6.26
PERIDOTITE,0.2,2.02,6.1,0.18,1.26
PERIDOTITE,0.52,22.04,7.64,0.28,4.66
PERIDOTITE,0.32,3.75,3.88,0.1,15.99
PERIDOTITE,0.89,18.18,9.29,0.3,5.94
PERIDOTITE,0.31,2.18,7.95,0.2,1.28
PERIDOTITE,0.63,3.36,4.93,0.1,16.25
PERIDOTITE,1.39,13.73,3.39,0.0,0.0
PERIDOTITE,0.15,0.92,6.01,0.08,0.6
PERIDOTITE,1.71,13.62,3.6,0.0,0.0
PERIDOTITE,0.27,2.02,2.82,0.05,20.67
PERIDOTITE,0.23,22.06,10.46,0.41,4.54
PERIDOTITE,0.05,1.6,5.22,0.1,1.07
PERIDOTITE,0.08,1.95,2.73,0.09,19.38
PERIDOTITE,0.21,18.74,6.52,0.3,6.32
PERIDOTITE,0.14,1.71,5.58,0.17,1.02
PERIDOTITE,0.38,21.07,7.06,0.27,5.01
PERIDOTITE,0.28,3.16,3.04,0.09,17.79
PERIDOTITE,0.02,1.57,5.03,0.11,1.2
PERIDOTITE,0.01,1.62,2.9,0.09,19.89
PERIDOTITE,0.03,17.85,6.25,0.21,6.75
PERIDOTITE,0.31,1.53,6.94,0.13,0.99
PERIDOTITE,0.78,20.51,8.74,0.32,5.07
PERIDOTITE,0.65,3.26,3.91,0.1,17.57
PERIDOTITE,0.31,1.63,6.36,0.08,0.95
PERIDOTITE,0.72,19.41,8.3,0.28,5.26
PERIDOTITE,0.66,3.3,3.73,0.1,17.48
PERIDOTITE,0.32,1.85,8.8,0.13,1.12
PERIDOTITE,0.64,3.24,5.22,0.06,17.08
PERIDOTITE,0.34,1.61,5.62,0.08,0.91
PERIDOTITE,0.85,18.46,7.46,0.31,5.81
PERIDOTITE,0.66,3.19,3.22,0.11,17.4
PYROXENITE,0.18,1.57,10.07,0.12,0.8
PYROXENITE,2.9,13.5,6.94,0.01,0.05
PYROXENITE,0.48,3.64,5.57,0.08,18.05
PYROXENITE,3.0,13.45,7.1,0.03,0.02
PYROXENITE,0.5,22.99,10.33,0.21,4.86
PYROXENITE,0.52,3.47,5.4,0.12,18.29
