ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO
DUNITE,-0.23,-78.05,40.7,45.79
WEHRLITE,-0.23,-78.05,47.01,24.22
WEHRLITE,-0.23,-78.05,46.9,25.08
WEHRLITE,-0.23,-78.05,44.53,30.59
WEHRLITE,-0.23,-78.05,42.82,32.76
WEHRLITE,-0.23,-78.05,42.96,32.55
WEHRLITE,11.5,-12.5,43.22,34.18
WEHRLITE,11.5,-12.5,41.48,37.7
DUNITE,9.77,-13.45,41.07,41.37
WEHRLITE,9.77,-13.45,42.11,33.38
PERIDOTITE,26.7,102.2,43.47,24.52
PERIDOTITE,26.7,102.2,38.89,23.18
PERIDOTITE,26.7,102.2,38.12,22.8
PERIDOTITE,26.7,102.2,35.58,22.66
PERIDOTITE,26.7,102.2,43.27,24.68
PERIDOTITE,26.7,102.2,41.49,24.75
PERIDOTITE,26.7,102.2,42.57,24.52
PERIDOTITE,26.7,102.2,45.35,20.94
PERIDOTITE,26.7,102.2,43.57,25.74
PERIDOTITE,26.5,101.7,41.76,23.3
PERIDOTITE,26.5,101.7,40.55,22.57
PERIDOTITE,26.5,101.7,43.07,17.96
PERIDOTITE,26.5,101.7,41.73,17.06
PERIDOTITE,26.5,101.7,40.68,23.69
WEHRLITE,13.0,-12.0,40.84,28.84
LHERZOLITE,13.0,-12.0,38.95,32.67
PERIDOTITE,50.0,100.0,38.75,17.9
PERIDOTITE,21.2722,104.24799999999999,40.0,39.0
WEHRLITE,52.0,85.5,41.59,34.99
DUNITE,52.0,85.5,39.26,30.09
WEHRLITE,52.0,85.5,40.69,33.99
WEHRLITE,52.0,85.5,39.61,30.72
WEHRLITE,52.0,85.5,40.76,31.55
WEHRLITE,52.0,85.5,40.33,33.94
WEHRLITE,52.0,85.5,40.08,34.45
WEHRLITE,52.0,85.5,43.66,24.07
LHERZOLITE,35.6,5.4,44.91,39.79
LHERZOLITE,35.6,5.4,42.99,46.11
LHERZOLITE,35.6,5.4,44.29,43.63
LHERZOLITE,35.6,5.4,44.13,41.11
LHERZOLITE,35.6,5.4,43.91,44.68
LHERZOLITE,35.6,5.4,44.89,41.17
LHERZOLITE,35.6,5.4,44.73,40.73
PERIDOTITE,69.42,30.32,37.58,28.87
WEHRLITE,69.48,30.75,36.81,30.05
WEHRLITE,69.48,30.75,36.81,30.05
WEHRLITE,69.48,30.75,36.81,30.05
PYROXENITE,69.48,30.75,45.93,15.69
WEHRLITE,69.48,30.75,36.74,28.86
WEHRLITE,28.35,-14.12,48.12,14.4
LHERZOLITE,-30.1647,141.67600000000002,38.63,23.86
PERIDOTITE,-30.6795,142.123,38.18,25.39
WEHRLITE,49.9,14.0,38.84,25.49
WEHRLITE,49.9,14.0,38.2,24.79
WEHRLITE,49.9,14.0,37.68,26.19
LHERZOLITE,37.67,-1.15,43.11,13.46
DUNITE,-28.5,121.5,40.74,48.3
DUNITE,-28.5,121.5,40.84,48.43
DUNITE,-28.5,121.5,41.53,47.98
DUNITE,-28.5,121.5,40.78,49.14
DUNITE,-28.5,121.5,41.05,49.05
PERIDOTITE,60.17,22.75,44.24,26.12
NOT-GIVEN,45.78,3.08,49.41,35.49
NOT-GIVEN,45.78,3.08,48.05,34.61
NOT-GIVEN,45.78,3.08,43.62,42.61
DUNITE,42.0,143.0,40.78,47.49
HARZBURGITE,42.0,143.0,43.87,46.65
HARZBURGITE,42.0,143.0,43.99,46.36
HARZBURGITE,42.0,143.0,43.98,45.46
HARZBURGITE,42.0,143.0,43.91,45.88
LHERZOLITE,42.0,143.0,44.27,44.6
LHERZOLITE,42.0,143.0,43.82,44.36
LHERZOLITE,42.0,143.0,44.51,42.47
LHERZOLITE,42.0,143.0,44.45,43.41
LHERZOLITE,42.0,143.0,44.5,43.04
LHERZOLITE,42.0,143.0,44.79,42.7
LHERZOLITE,42.0,143.0,44.25,42.47
PICRITE,69.39,30.83,39.6,29.4
LHERZOLITE,42.0,143.0,44.62,42.92
PERIDOTITE,43.85,146.78,38.68,34.76
DUNITE,42.0,143.0,41.45,49.59
LHERZOLITE,42.0,143.0,44.49,38.5
LHERZOLITE,42.0,143.0,44.28,41.26
LHERZOLITE,42.0,143.0,44.51,39.46
LHERZOLITE,42.0,143.0,44.66,39.94
LHERZOLITE,42.0,143.0,44.73,41.24
LHERZOLITE,42.0,143.0,44.28,41.23
LHERZOLITE,42.0,143.0,43.89,45.65
LHERZOLITE,42.0,143.0,44.36,43.76
LHERZOLITE,42.0,143.0,44.34,43.0
LHERZOLITE,42.0,143.0,44.74,42.65
LHERZOLITE,42.0,143.0,46.26,33.08
LHERZOLITE,42.0,143.0,43.88,38.55
LHERZOLITE,42.0,143.0,44.64,39.18
LHERZOLITE,42.0,143.0,43.7,38.95
HARZBURGITE,42.0,143.0,41.13,48.23
DUNITE,42.0,143.0,39.58,47.37
HARZBURGITE,42.0,143.0,43.57,46.34
LHERZOLITE,42.0,143.0,44.44,39.9
LHERZOLITE,42.0,143.0,44.21,41.64
LHERZOLITE,42.0,143.0,44.87,39.2
LHERZOLITE,42.0,143.0,44.46,44.02
LHERZOLITE,42.0,143.0,44.67,44.52
LHERZOLITE,42.0,143.0,44.13,44.16
LHERZOLITE,42.0,143.0,43.49,44.36
LHERZOLITE,42.0,143.0,44.2,43.68
LHERZOLITE,42.0,143.0,44.53,41.97
LHERZOLITE,42.0,143.0,44.4,44.22
LHERZOLITE,42.0,143.0,44.81,44.69
HARZBURGITE,42.0,143.0,43.93,44.86
LHERZOLITE,42.0,143.0,44.8,43.52
LHERZOLITE,42.0,143.0,44.71,43.39
LHERZOLITE,42.0,143.0,43.47,45.84
LHERZOLITE,42.0,143.0,43.17,44.23
LHERZOLITE,42.0,143.0,44.18,43.41
LHERZOLITE,42.0,143.0,44.64,40.91
LHERZOLITE,42.0,143.0,43.95,40.8
LHERZOLITE,42.0,143.0,45.26,38.42
HARZBURGITE,42.0,143.0,44.12,48.38
HARZBURGITE,42.0,143.0,42.5,48.38
HARZBURGITE,42.0,143.0,44.18,47.71
LHERZOLITE,42.0,143.0,46.5,43.19
LHERZOLITE,42.0,143.0,44.91,39.27
LHERZOLITE,42.0,143.0,44.73,40.38
LHERZOLITE,42.0,143.0,44.91,39.79
LHERZOLITE,42.0,143.0,44.93,41.5
LHERZOLITE,42.0,143.0,44.54,41.17
HARZBURGITE,42.0,143.0,43.99,46.2
LHERZOLITE,42.0,143.0,44.93,39.55
LHERZOLITE,42.0,143.0,44.08,42.77
