ROCK NAME,SIO2,TIO2,AL2O3,CAO
HARZBURGITE,43,0.01,1.34,0.99
HARZBURGITE,43.79,0.02,1.5,1.15
HARZBURGITE,44.02,0.01,1.3,0.12
HARZBURGITE,43.98,0.02,1.51,0.39
HARZBURGITE,46.64,0.06,1.5,1.05
HARZBURGITE,44.1,0.07,1.44,0.32
HARZBURGITE,43.63,0.01,1.39,0.14
HARZBURGITE,44.38,0.07,1.43,0.79
HARZBURGITE,44.27,0.02,1.34,0.25
HARZBURGITE,43.79,0.01,1.36,0.23
HARZBURGITE,44.29,0.01,1.64,0.26
HARZBURGITE,43.9,0.01,1.48,0.39
HARZBURGITE,43.55,0.01,1.5,0.73
HARZBURGITE,43.32,0.02,1.25,0.17
HARZBURGITE,44.05,0.03,1.52,1.42
HARZBURGITE,43.58,0.01,1.45,1.41
HARZBURGITE,44.39,0.03,1.36,1.25
HARZBURGITE,44.32,0.03,1.75,1.33
HARZBURGITE,44.72,0.01,1.61,0.57
HARZBURGITE,43.64,0.02,1.38,0.32
HARZBURGITE,45.44,0.68,6.96,14.55
HARZBURGITE,43.37,0.02,1.18,0.1
HARZBURGITE,43.94,0.01,1.49,1.39
HARZBURGITE,45.74,0.11,3.4,4.19
HARZBURGITE,44.75,0.03,1.49,0.33
HARZBURGITE,45.55,0.05,1.58,0.77
HARZBURGITE,44.09,0.02,1.43,0.07
HARZBURGITE,46.54,0.04,1.78,1.3
HARZBURGITE,45.09,0.02,1.49,0.39
HARZBURGITE,43.93,0.03,1.45,0.42
HARZBURGITE,43.83,0.03,1.54,0.02
HARZBURGITE,43.51,0.02,1.57,0.1
HARZBURGITE,44.64,0.02,1.45,0.01
HARZBURGITE,44.65,0.03,1.39,0.04
HARZBURGITE,44.94,0.02,1.49,0.15
HARZBURGITE,44.81,0.01,1.29,0.02
HARZBURGITE,45.77,0.43,1.98,2.26
HARZBURGITE,43.71,0.01,1.31,0.08
HARZBURGITE,44.92,0.03,1.67,0.38
HARZBURGITE,35.31,0.03,0.8,0.5
HARZBURGITE,35.05,0.03,0.88,0.22
HARZBURGITE,35.58,0.02,0.49,0.41
HARZBURGITE,43.46,0.05,0.6,0.75
HARZBURGITE,44.28,0.04,0.71,0.27
HARZBURGITE,45.31,0.01,0.47,0.06
HARZBURGITE,45.85,0.02,0.85,0.1
HARZBURGITE,61.86,0.04,0.43,0.34
LHERZOLITE,59.1,1.43,19.05,5.98
LHERZOLITE,58.8,1.78,16.87,6.42
LHERZOLITE,62.6,0.34,20.05,1.86
LHERZOLITE,39.55,0.01,0.32,1.95
LHERZOLITE,39.95,0.02,4.08,4.62
LHERZOLITE,44.94,0.15,3.05,2.97
LHERZOLITE,44.34,0.015,1.89,1.99
LHERZOLITE,44.26,0.013,1.42,1.24
LHERZOLITE,43.82,0.02,2.09,1.98
LHERZOLITE,44.42,0.015,2.04,1.98
LHERZOLITE,44.64,0.023,2.21,2.26
LHERZOLITE,43.93,0.05,2.5,2.26
LHERZOLITE,44.43,0.045,2.47,2.27
LHERZOLITE,45.22,0.058,2.98,2.57
LHERZOLITE,45.54,0.078,3.18,2.85
LHERZOLITE,45.63,0.1,3.53,3.07
LHERZOLITE,44.99,0.099,3.3,2.94
LHERZOLITE,45.08,0.104,3.23,2.82
LHERZOLITE,44.88,0.095,3.54,2.99
LHERZOLITE,45.67,0.094,3.34,3.11
LHERZOLITE,44.19,0.04,1.95,1.41
LHERZOLITE,44.61,0.03,1.9,1.41
LHERZOLITE,44.48,0.017,2.07,1.84
LHERZOLITE,44.64,0.031,1.95,1.76
LHERZOLITE,44.97,0.039,1.88,1.67
LHERZOLITE,45.49,0.089,3.19,2.74
LHERZOLITE,44.1,0.07,3.15,2.62
LHERZOLITE,44.73,0.07,3.16,2.64
LHERZOLITE,44.54,0.072,3.15,2.63
LHERZOLITE,44.63,0.072,3.14,2.77
LHERZOLITE,44.3,0.071,2.19,1.95
LHERZOLITE,44.02,0.08,2.19,2.3
LHERZOLITE,44.95,0.15,4.14,3.59
LHERZOLITE,44.82,0.17,3.8,3.91
LHERZOLITE,45.15,0.14,3.9,3.18
