ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO,CAO,MNO
LHERZOLITE,35.6,5.4,44.73,40.73,2.61,0.14
WEHRLITE,69.48,30.75,36.81,30.05,2.02,0.19
WEHRLITE,69.48,30.75,36.81,30.05,2.02,0.19
WEHRLITE,69.48,30.75,36.81,30.05,2.02,0.19
PYROXENITE,69.48,30.75,45.93,15.69,15.48,0.2
WEHRLITE,69.48,30.75,36.74,28.86,2.8,0.23
WEHRLITE,28.35,-14.12,48.12,14.4,19.82,0.15
LHERZOLITE,-30.1647,141.67600000000002,38.63,23.86,5.78,0.17
LHERZOLITE,37.67,-1.15,43.11,13.46,14.98,0.11
DUNITE,-28.5,121.5,40.74,48.3,0.51,0.15
