,0,1,2,3,4,5,6,7,8,9,10,11,12
194,ROCK NAME,SIO2,TIO2,MGO,P2O5,,,,,,,,0.7094893710278309
195,ROCK NAME,SIO2,TIO2,MNO,K2O,,,,,,,,0.7092272806558503
196,ROCK NAME,SIO2,TIO2,MNO,NA2O,,,,,,,,0.7093486822759224
197,ROCK NAME,SIO2,TIO2,MNO,P2O5,,,,,,,,0.70890769038917
198,ROCK NAME,SIO2,TIO2,K2O,NA2O,,,,,,,,0.7091487828506235
199,ROCK NAME,SIO2,TIO2,K2O,P2O5,,,,,,,,0.7089458689458671
200,ROCK NAME,SIO2,TIO2,NA2O,P2O5,,,,,,,,0.7090993276731236
201,ROCK NAME,SIO2,AL2O3,CR2O3,FEOT,,,,,,,,0.7092747736312073
202,ROCK NAME,SIO2,AL2O3,CR2O3,CAO,,,,,,,,0.7096309395159952
203,ROCK NAME,SIO2,AL2O3,CR2O3,MGO,,,,,,,,0.7097787833081933
204,ROCK NAME,SIO2,AL2O3,CR2O3,MNO,,,,,,,,0.7098927570472268
205,ROCK NAME,SIO2,AL2O3,CR2O3,K2O,,,,,,,,0.7100609446887747
206,ROCK NAME,SIO2,AL2O3,CR2O3,NA2O,,,,,,,,0.7104614834083419
207,ROCK NAME,SIO2,AL2O3,CR2O3,P2O5,,,,,,,,0.710575096793044
208,ROCK NAME,SIO2,AL2O3,FEOT,CAO,,,,,,,,0.7109011845853936
209,ROCK NAME,SIO2,AL2O3,FEOT,MGO,,,,,,,,0.711124677791343
210,ROCK NAME,SIO2,AL2O3,FEOT,MNO,,,,,,,,0.7115890954753501
211,ROCK NAME,SIO2,AL2O3,FEOT,K2O,,,,,,,,0.7119237040620674
212,ROCK NAME,SIO2,AL2O3,FEOT,NA2O,,,,,,,,0.7121258733152303
213,ROCK NAME,SIO2,AL2O3,FEOT,P2O5,,,,,,,,0.7123794055258215
214,ROCK NAME,SIO2,AL2O3,CAO,MGO,,,,,,,,0.7127851763510665
215,ROCK NAME,SIO2,AL2O3,CAO,MNO,,,,,,,,0.7131783968203709
216,ROCK NAME,SIO2,AL2O3,CAO,K2O,,,,,,,,0.7134935952140242
217,ROCK NAME,SIO2,AL2O3,CAO,NA2O,,,,,,,,0.7138668897078673
218,ROCK NAME,SIO2,AL2O3,CAO,P2O5,,,,,,,,0.7142454478831942
219,ROCK NAME,SIO2,AL2O3,MGO,MNO,,,,,,,,0.7145040145040135
220,ROCK NAME,SIO2,AL2O3,MGO,K2O,,,,,,,,0.7147301611856652
221,ROCK NAME,SIO2,AL2O3,MGO,NA2O,,,,,,,,0.7150654928432694
222,ROCK NAME,SIO2,AL2O3,MGO,P2O5,,,,,,,,0.7152359902733582
223,ROCK NAME,SIO2,AL2O3,MNO,K2O,,,,,,,,0.7154473612806933
224,ROCK NAME,SIO2,AL2O3,MNO,NA2O,,,,,,,,0.7155639970454772
225,ROCK NAME,SIO2,AL2O3,MNO,P2O5,,,,,,,,0.7154947095950033
226,ROCK NAME,SIO2,AL2O3,K2O,NA2O,,,,,,,,0.7158067363647379
227,ROCK NAME,SIO2,AL2O3,K2O,P2O5,,,,,,,,0.7158994351976794
228,ROCK NAME,SIO2,AL2O3,NA2O,P2O5,,,,,,,,0.7162069694820774
229,ROCK NAME,SIO2,CR2O3,FEOT,CAO,,,,,,,,0.7165324745034878
230,ROCK NAME,SIO2,CR2O3,FEOT,MGO,,,,,,,,0.7168592724148268
231,ROCK NAME,SIO2,CR2O3,FEOT,MNO,,,,,,,,0.7165078429446233
232,ROCK NAME,SIO2,CR2O3,FEOT,K2O,,,,,,,,0.7161227475962798
233,ROCK NAME,SIO2,CR2O3,FEOT,NA2O,,,,,,,,0.7158667543282913
234,ROCK NAME,SIO2,CR2O3,FEOT,P2O5,,,,,,,,0.7155038289790046
235,ROCK NAME,SIO2,CR2O3,CAO,MGO,,,,,,,,0.7158884221031097
236,ROCK NAME,SIO2,CR2O3,CAO,MNO,,,,,,,,0.7161094882613853
237,ROCK NAME,SIO2,CR2O3,CAO,K2O,,,,,,,,0.7162927849202342
238,ROCK NAME,SIO2,CR2O3,CAO,NA2O,,,,,,,,0.7166493819213469
239,ROCK NAME,SIO2,CR2O3,CAO,P2O5,,,,,,,,0.7169396961063611
240,ROCK NAME,SIO2,CR2O3,MGO,MNO,,,,,,,,0.7171172662182327
241,ROCK NAME,SIO2,CR2O3,MGO,K2O,,,,,,,,0.7170853837520487
242,ROCK NAME,SIO2,CR2O3,MGO,NA2O,,,,,,,,0.7172022713860832
243,ROCK NAME,SIO2,CR2O3,MGO,P2O5,,,,,,,,0.7173104167639669
244,ROCK NAME,SIO2,CR2O3,MNO,K2O,,,,,,,,0.7167393453107722
245,ROCK NAME,SIO2,CR2O3,MNO,NA2O,,,,,,,,0.7164971934619616
246,ROCK NAME,SIO2,CR2O3,MNO,P2O5,,,,,,,,0.7159263488548223
247,ROCK NAME,SIO2,CR2O3,K2O,NA2O,,,,,,,,0.7156664522255904
248,ROCK NAME,SIO2,CR2O3,K2O,P2O5,,,,,,,,0.7150234365763132
249,ROCK NAME,SIO2,CR2O3,NA2O,P2O5,,,,,,,,0.7147008547008531
250,ROCK NAME,SIO2,FEOT,CAO,MGO,,,,,,,,0.7150921480270734
251,ROCK NAME,SIO2,FEOT,CAO,MNO,,,,,,,,0.7154539561946954
252,ROCK NAME,SIO2,FEOT,CAO,K2O,,,,,,,,0.7158279187264679
253,ROCK NAME,SIO2,FEOT,CAO,NA2O,,,,,,,,0.7161802424269601
254,ROCK NAME,SIO2,FEOT,CAO,P2O5,,,,,,,,0.7164515948829661
255,ROCK NAME,SIO2,FEOT,MGO,MNO,,,,,,,,0.7167282466761619
256,ROCK NAME,SIO2,FEOT,MGO,K2O,,,,,,,,0.7169953551276496
257,ROCK NAME,SIO2,FEOT,MGO,NA2O,,,,,,,,0.7170910723882286
258,ROCK NAME,SIO2,FEOT,MGO,P2O5,,,,,,,,0.7171310504643823
259,ROCK NAME,SIO2,FEOT,MNO,K2O,,,,,,,,0.7168200745123806
260,ROCK NAME,SIO2,FEOT,MNO,NA2O,,,,,,,,0.7167370730589105
261,ROCK NAME,SIO2,FEOT,MNO,P2O5,,,,,,,,0.7163901031585493
262,ROCK NAME,SIO2,FEOT,K2O,NA2O,,,,,,,,0.7164285275818847
263,ROCK NAME,SIO2,FEOT,K2O,P2O5,,,,,,,,0.716106938329159
264,ROCK NAME,SIO2,FEOT,NA2O,P2O5,,,,,,,,0.716160475908902
265,ROCK NAME,SIO2,CAO,MGO,MNO,,,,,,,,0.7163564181108025
266,ROCK NAME,SIO2,CAO,MGO,K2O,,,,,,,,0.7167145057282371
267,ROCK NAME,SIO2,CAO,MGO,NA2O,,,,,,,,0.7170096809400279
268,ROCK NAME,SIO2,CAO,MGO,P2O5,,,,,,,,0.7173026615405784
269,ROCK NAME,SIO2,CAO,MNO,K2O,,,,,,,,0.7174914705778891
270,ROCK NAME,SIO2,CAO,MNO,NA2O,,,,,,,,0.7177524766700647
271,ROCK NAME,SIO2,CAO,MNO,P2O5,,,,,,,,0.7177776381207743
272,ROCK NAME,SIO2,CAO,K2O,NA2O,,,,,,,,0.7180391624836058
273,ROCK NAME,SIO2,CAO,K2O,P2O5,,,,,,,,0.7182294591053703
274,ROCK NAME,SIO2,CAO,NA2O,P2O5,,,,,,,,0.7185219718553039
275,ROCK NAME,SIO2,MGO,MNO,K2O,,,,,,,,0.7184820457767305
276,ROCK NAME,SIO2,MGO,MNO,NA2O,,,,,,,,0.7185212612408747
277,ROCK NAME,SIO2,MGO,MNO,P2O5,,,,,,,,0.7186660927668107
278,ROCK NAME,SIO2,MGO,K2O,NA2O,,,,,,,,0.7188609434726505
279,ROCK NAME,SIO2,MGO,K2O,P2O5,,,,,,,,0.7189831773165092
280,ROCK NAME,SIO2,MGO,NA2O,P2O5,,,,,,,,0.7190673655679571
281,ROCK NAME,SIO2,MNO,K2O,NA2O,,,,,,,,0.7189623702626051
282,ROCK NAME,SIO2,MNO,K2O,P2O5,,,,,,,,0.7185057667978736
283,ROCK NAME,SIO2,MNO,NA2O,P2O5,,,,,,,,0.7182663884541803
284,ROCK NAME,SIO2,K2O,NA2O,P2O5,,,,,,,,0.7180453507938872
285,ROCK NAME,TIO2,AL2O3,CR2O3,FEOT,,,,,,,,0.71815458994946
286,ROCK NAME,TIO2,AL2O3,CR2O3,CAO,,,,,,,,0.7183424825701232
287,ROCK NAME,TIO2,AL2O3,CR2O3,MGO,,,,,,,,0.7183938746438729
288,ROCK NAME,TIO2,AL2O3,CR2O3,MNO,,,,,,,,0.7183167552256347
289,ROCK NAME,TIO2,AL2O3,CR2O3,K2O,,,,,,,,0.7185381668140272
290,ROCK NAME,TIO2,AL2O3,CR2O3,NA2O,,,,,,,,0.718588356618137
291,ROCK NAME,TIO2,AL2O3,CR2O3,P2O5,,,,,,,,0.7185373817793891
292,ROCK NAME,TIO2,AL2O3,FEOT,CAO,,,,,,,,0.7186034376022982
293,ROCK NAME,TIO2,AL2O3,FEOT,MGO,,,,,,,,0.7187982505442805
294,ROCK NAME,TIO2,AL2O3,FEOT,MNO,,,,,,,,0.7188887279282741
295,ROCK NAME,TIO2,AL2O3,FEOT,K2O,,,,,,,,0.7189657606324253
296,ROCK NAME,TIO2,AL2O3,FEOT,NA2O,,,,,,,,0.7190422745978282
297,ROCK NAME,TIO2,AL2O3,FEOT,P2O5,,,,,,,,0.7191788243242363
298,ROCK NAME,TIO2,AL2O3,CAO,MGO,,,,,,,,0.7192572900488154
299,ROCK NAME,TIO2,AL2O3,CAO,MNO,,,,,,,,0.7192086103197195
300,ROCK NAME,TIO2,AL2O3,CAO,K2O,,,,,,,,0.7194221225228958
301,ROCK NAME,TIO2,AL2O3,CAO,NA2O,,,,,,,,0.719615353169435
302,ROCK NAME,TIO2,AL2O3,CAO,P2O5,,,,,,,,0.7197822346337178
303,ROCK NAME,TIO2,AL2O3,MGO,MNO,,,,,,,,0.7197230969160775
304,ROCK NAME,TIO2,AL2O3,MGO,K2O,,,,,,,,0.7196923699655923
305,ROCK NAME,TIO2,AL2O3,MGO,NA2O,,,,,,,,0.7197518450241743
306,ROCK NAME,TIO2,AL2O3,MGO,P2O5,,,,,,,,0.7197521584057939
307,ROCK NAME,TIO2,AL2O3,MNO,K2O,,,,,,,,0.7197216363883012
308,ROCK NAME,TIO2,AL2O3,MNO,NA2O,,,,,,,,0.719697458640283
309,ROCK NAME,TIO2,AL2O3,MNO,P2O5,,,,,,,,0.719701007873049
310,ROCK NAME,TIO2,AL2O3,K2O,NA2O,,,,,,,,0.7197198022492751
311,ROCK NAME,TIO2,AL2O3,K2O,P2O5,,,,,,,,0.7197658704068941
312,ROCK NAME,TIO2,AL2O3,NA2O,P2O5,,,,,,,,0.7198359168540193
313,ROCK NAME,TIO2,CR2O3,FEOT,CAO,,,,,,,,0.719854102019705
314,ROCK NAME,TIO2,CR2O3,FEOT,MGO,,,,,,,,0.7197907716426214
315,ROCK NAME,TIO2,CR2O3,FEOT,MNO,,,,,,,,0.7194723935230244
316,ROCK NAME,TIO2,CR2O3,FEOT,K2O,,,,,,,,0.7192279232237153
317,ROCK NAME,TIO2,CR2O3,FEOT,NA2O,,,,,,,,0.7190477043726503
318,ROCK NAME,TIO2,CR2O3,FEOT,P2O5,,,,,,,,0.7187644199138435
