ROCK NAME,SIO2,CAO,AL2O3,MGO
LHERZOLITE,45,1.98,2.46,48.79655
LHERZOLITE,43.6,2.21,2.46,50.28567
LHERZOLITE,43.41,2.39,2.93,49.99255
LHERZOLITE,44.93,4.11,2.46,48.23
LHERZOLITE,44.15,1.25,2.47,49.50535
LHERZOLITE,44.13,2.26,2.47,48.55048
LHERZOLITE,44.31,2.18,2.47,48.68937
LHERZOLITE,44.49,2.18,2.47,48.97139
LHERZOLITE,42.8,3.61,2.88,49.30133
LHERZOLITE,46.71,2.36,2.88,47.31
LHERZOLITE,44.44,2.24,2.48,48.68644
LHERZOLITE,43.95,2.04,2.48,49.89414
LHERZOLITE,44.48,3.24,2.92,48.54416
LHERZOLITE,44.13,2.02,2.49,49.49203
LHERZOLITE,43.86,2.12,2.49,50.05686
LHERZOLITE,44.39,2.25,2.5,48.70644
LHERZOLITE,42.05,4.59,2.5,48.57014
LHERZOLITE,42.1,1.77,2.51,50.4604
LHERZOLITE,43.67,1.75,2.82,50.0778
LHERZOLITE,45.25,1.86,2.52,49.59
LHERZOLITE,52.91,21.78,3.34,20
LHERZOLITE,45.13,2.79,2.54,46.47109
LHERZOLITE,44.2,2.66,2.55,48.38
LHERZOLITE,43.82,1.18,2.83,51.61092
LHERZOLITE,44.15,2.79,2.56,48.15
LHERZOLITE,44.94,2.66,2.56,49.69
LHERZOLITE,44.2,2.73,2.57,47.44372
LHERZOLITE,44.6,2.49,2.57,48.10221
LHERZOLITE,44.3,2.67,2.57,48.4
LHERZOLITE,44.45,2.33,2.57,49.32433
LHERZOLITE,45.1,1.6,2.99,49.39
LHERZOLITE,43.99,2.43,2.98,48.37
LHERZOLITE,45.05,2.15,2.58,48.87362
LHERZOLITE,43.03,2.3,2.58,50.87
LHERZOLITE,44.82,2.37,2.58,49.84
LHERZOLITE,44.1,2.36,2.94,52.80292
LHERZOLITE,44.34,1.82,2.59,50.14716
LHERZOLITE,43.81,3.41,3.009,49.63
LHERZOLITE,44.48,2.27,2.95,49.49
LHERZOLITE,43.84,2.34,3.09,50.05021
LHERZOLITE,43.43,2.32,2.6,51.35
LHERZOLITE,44.77,2.12,2.61,48.11291
LHERZOLITE,44.72,2.38,2.61,49.26605
LHERZOLITE,41.6,4.61,2.72,48.26981
LHERZOLITE,44.51,2.68,2.62,49.42
LHERZOLITE,44.05,2.13,3.02,52.56019
LHERZOLITE,44.23,2.78,3.11,48.51688
LHERZOLITE,44.75,2.58,3.02,47.14497
LHERZOLITE,43.81,2.27,2.64,49.75999
LHERZOLITE,43.3,2.21,2.64,50.99
LHERZOLITE,44.5,2.56,2.65,48.44
LHERZOLITE,44.08,2.17,2.65,49.88514
LHERZOLITE,45.61,2.71,2.65,48.64
LHERZOLITE,46.92,3.55,2.65,46.27608
LHERZOLITE,43.3,1.97,2.66,48.83817
LHERZOLITE,44.17,2.31,2.66,48.60473
LHERZOLITE,43.52,2.8,3.004,49.64
LHERZOLITE,44.79,2.26,3,49.14
LHERZOLITE,43.86,2.63,3,50.11
LHERZOLITE,43.08936468,2.195686918,2.666199114,50.80562485
LHERZOLITE,45.6,2.71,2.67,47.07
LHERZOLITE,42.47,2.42,2.67,50.91
LHERZOLITE,44.75,2.19,3.18,48.26524
LHERZOLITE,43.48,3.56,2.68,49.03
LHERZOLITE,44.36,2.32,2.68,50.1
LHERZOLITE,46.11,3.05,2.69,46.42123
LHERZOLITE,43.87,2.73,3.04,49.96
LHERZOLITE,44.3,2.64,2.7,47.34949
LHERZOLITE,44.3,2.31,2.7,48.26614
LHERZOLITE,44.26,2.47,2.7,49.31
LHERZOLITE,45.26,2.48,2.71,47.81614
LHERZOLITE,45.41,2.52,3.1,47.51069
LHERZOLITE,43.92,2.34,3.16,49.34
LHERZOLITE,45.7,2.58,2.71,48.1086
LHERZOLITE,43.98,2.27,2.71,50.23453
LHERZOLITE,43.94,2.49,3.04,51.51343
LHERZOLITE,42.5,4.98,2.72,45.42468
LHERZOLITE,44.6,3.07,2.72,47.66
LHERZOLITE,44.31,2.16,2.95,48.63
LHERZOLITE,44.73,2.18,3.118,49.7
LHERZOLITE,43.56,1.42,2.73,50.16372
LHERZOLITE,45.31,2.28,3.13,48.1
LHERZOLITE,44.48,2.12,3.15,49.04688
LHERZOLITE,46.45,3.06,2.73,47.55
LHERZOLITE,43.54,3.3,2.74,47.39618
LHERZOLITE,43.21,2.01,3.136,49.37
LHERZOLITE,43.78,2.68,2.74,48.64494
LHERZOLITE,44.2,2.61,2.74,48.94301
LHERZOLITE,44.5,2.65,2.74,48.8
LHERZOLITE,44.31,1.93,2.74,49.73352
LHERZOLITE,45.82,2.82,3.071,47.14
LHERZOLITE,46.68,6.39,2.74,43.48
LHERZOLITE,44.6,2.42,3.12,48.12
LHERZOLITE,45.03,2.72,3.15,47.99931
LHERZOLITE,43.06,1.7,2.76,49.66708
LHERZOLITE,44.75,2.12,3.16,47.89
LHERZOLITE,44.45,2.42,2.76,48.7
LHERZOLITE,44.65,2.79,2.76,48.3407
LHERZOLITE,46.45,2.63,2.76,47.77
LHERZOLITE,44.7,1.85,3.1,51.48999
LHERZOLITE,44.3,1.81,2.77,49.2617
LHERZOLITE,43.62,2.5,2.79,49.06231
LHERZOLITE,41.42,4.42,2.79,49.6322
LHERZOLITE,44.1,3.07,2.8,47.67001
LHERZOLITE,44.2,2.6,2.8,49.2
LHERZOLITE,44.84,2.98,2.8,48.64888
LHERZOLITE,42.23,3.76,3.22,48.03677
LHERZOLITE,45.1,3,2.81,47.41575
LHERZOLITE,44.6,2.99,2.82,47.42
LHERZOLITE,44.01,2.16,2.82,49.48029
LHERZOLITE,44.42,2.57,2.82,49.63
LHERZOLITE,44.15,2.18,3.19,49.08
LHERZOLITE,46.62,3.57,2.83,46.11
LHERZOLITE,43.83,2.3,2.83,50.83
LHERZOLITE,44.94,1.16,3.02,49.43274
LHERZOLITE,44.37,2.74,2.84,49.54
LHERZOLITE,45.81,1.45,3.53,48.95
LHERZOLITE,43.8,4.35,2.85,44.94494
LHERZOLITE,44.99,3.1,2.85,46.36083
LHERZOLITE,43.74,2.18,3.56,49.80144
LHERZOLITE,43.94644411,2.369971258,2.856368878,50.00196066
LHERZOLITE,44.41,2.35,2.86,48.21332
LHERZOLITE,42.09,4.18,2.86,48.42
LHERZOLITE,44.01,2.68,3.193,48.81
LHERZOLITE,45.2,2.92,2.86,48.10274
LHERZOLITE,45.07,2.07,3.24,48.63
LHERZOLITE,44.42,2.89,2.87,49.65
LHERZOLITE,44.65,4.25,3.24,49.21807
LHERZOLITE,44.6,2.57,3.29,48.4489
LHERZOLITE,44.22,2.15,2.88,49.71322
LHERZOLITE,45,2.38,2.89,47.59433
LHERZOLITE,44.9,2.77,2.89,47.20887
LHERZOLITE,44.45,2.35,2.89,48.08433
LHERZOLITE,45.55,2.83,2.89,48.39
LHERZOLITE,44.33,2.85,2.9,46.89901
LHERZOLITE,44.5,2.53,3.25,49.10698
LHERZOLITE,44.7,2.91,2.91,47.72
LHERZOLITE,44.54,2.89,3.29,50.52908
LHERZOLITE,44.8,2.76,2.92,47.65637
LHERZOLITE,44.85,7.24,3.31,43.16497
