ROCK NAME,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MGO,CAO,NA2O,K2O,P2O5,MNO,CR2O3
LHERZOLITE,42,143,43.82,0.13,3.54,1.48,,6.71,,38.8,2.84,0.28,0.01,0.01,0.13,0.35
LHERZOLITE,42,143,44.56,0.13,3.66,,,,8.2,38.66,2.81,0.296,0.006,0.01,0.139,0.384
DUNITE,42,143,41.77,0.01,5.1,,,,9.23,37.2,5.21,0.15,0.01,0.02,0.14,
DUNITE,42,143,45.77,0.03,15.93,,,,4.86,17.7,13.26,0.83,0.02,0.01,0.08,
DUNITE,42,143,42.55,0.01,10.71,,,,8.29,29.3,8.14,0.55,,,0.12,
DUNITE,42,143,46.05,0.02,19.29,,,,4.38,16.6,13.97,1.01,,0.01,0.07,
NOT-GIVEN,42,143,41.44,0.04,30.06,,,,2.79,9.13,16.9,1.03,0.01,,0.05,
NOT-GIVEN,42,143,48.45,0.06,21.92,,,,1.44,7.57,20.18,1.01,0.01,,0.04,
NOT-GIVEN,42,143,44.95,0.05,25.99,,,,2.12,8.35,18.54,1.02,0.01,,0.05,
DUNITE,-25.95,30.57,26.6,0.02,0.18,4.67,,,,30.63,10.68,0.08,0.04,,,
DUNITE,64.9667,-49.9944,40.76,0.11,2.37,13.95,,,,42.68,1.18,0.1,0.13,0.01,0.13,
