,0,1,2,3,4,5,6,7,8,9,10,11
184,ROCK NAME,SIO2,TIO2,FEOT,NA2O,0.7065321731988398,,,,,,
185,ROCK NAME,SIO2,TIO2,FEOT,P2O5,0.7064301687957599,,,,,,
186,ROCK NAME,SIO2,TIO2,CAO,MGO,0.7067609224471966,,,,,,
187,ROCK NAME,SIO2,TIO2,CAO,MNO,0.7072851629589214,,,,,,
188,ROCK NAME,SIO2,TIO2,CAO,K2O,0.7078390288266828,,,,,,
189,ROCK NAME,SIO2,TIO2,CAO,NA2O,0.7082321187584342,,,,,,
190,ROCK NAME,SIO2,TIO2,CAO,P2O5,0.7088796408168133,,,,,,
191,ROCK NAME,SIO2,TIO2,MGO,MNO,0.7091989157961377,,,,,,
192,ROCK NAME,SIO2,TIO2,MGO,K2O,0.7093525038257333,,,,,,
193,ROCK NAME,SIO2,TIO2,MGO,NA2O,0.7094114997895066,,,,,,
194,ROCK NAME,SIO2,TIO2,MGO,P2O5,0.7096257335573575,,,,,,
195,ROCK NAME,SIO2,TIO2,MNO,K2O,0.7094210903734715,,,,,,
196,ROCK NAME,SIO2,TIO2,MNO,NA2O,0.7093101170935352,,,,,,
197,ROCK NAME,SIO2,TIO2,MNO,P2O5,0.7091043387339686,,,,,,
198,ROCK NAME,SIO2,TIO2,K2O,NA2O,0.708938806091235,,,,,,
199,ROCK NAME,SIO2,TIO2,K2O,P2O5,0.7085090218423553,,,,,,
200,ROCK NAME,SIO2,TIO2,NA2O,P2O5,0.7087449740849409,,,,,,
201,ROCK NAME,SIO2,AL2O3,CR2O3,FEOT,0.7090914219627089,,,,,,
202,ROCK NAME,SIO2,AL2O3,CR2O3,CAO,0.7094484910576861,,,,,,
203,ROCK NAME,SIO2,AL2O3,CR2O3,MGO,0.7097974042418483,,,,,,
204,ROCK NAME,SIO2,AL2O3,CR2O3,MNO,0.7100271002710022,,,,,,
205,ROCK NAME,SIO2,AL2O3,CR2O3,K2O,0.7104389677205206,,,,,,
206,ROCK NAME,SIO2,AL2O3,CR2O3,NA2O,0.7107000472539919,,,,,,
207,ROCK NAME,SIO2,AL2O3,CR2O3,P2O5,0.7108764336328433,,,,,,
208,ROCK NAME,SIO2,AL2O3,FEOT,CAO,0.7112556059924475,,,,,,
209,ROCK NAME,SIO2,AL2O3,FEOT,MGO,0.711436711436711,,,,,,
210,ROCK NAME,SIO2,AL2O3,FEOT,MNO,0.7118951494938851,,,,,,
211,ROCK NAME,SIO2,AL2O3,FEOT,K2O,0.7121969574799758,,,,,,
212,ROCK NAME,SIO2,AL2O3,FEOT,NA2O,0.7124201365202925,,,,,,
213,ROCK NAME,SIO2,AL2O3,FEOT,P2O5,0.712654542872611,,,,,,
214,ROCK NAME,SIO2,AL2O3,CAO,MGO,0.7127984275271093,,,,,,
215,ROCK NAME,SIO2,AL2O3,CAO,MNO,0.7131652069923671,,,,,,
216,ROCK NAME,SIO2,AL2O3,CAO,K2O,0.7134848425171001,,,,,,
217,ROCK NAME,SIO2,AL2O3,CAO,NA2O,0.7136316509405188,,,,,,
218,ROCK NAME,SIO2,AL2O3,CAO,P2O5,0.7138551735203175,,,,,,
219,ROCK NAME,SIO2,AL2O3,MGO,MNO,0.7140637140637135,,,,,,
220,ROCK NAME,SIO2,AL2O3,MGO,K2O,0.7142574759467665,,,,,,
