,0,1,2,3,4,5
212,ROCK NAME,AL2O3,CR2O3,CAO,K2O,0.7320064737905086
213,ROCK NAME,AL2O3,CR2O3,CAO,NA2O,0.7322780484774227
214,ROCK NAME,AL2O3,CR2O3,CAO,P2O5,0.7325205945360956
215,ROCK NAME,AL2O3,CR2O3,MGO,MNO,0.7325498575498549
216,ROCK NAME,AL2O3,CR2O3,MGO,K2O,0.7324869475407083
217,ROCK NAME,AL2O3,CR2O3,MGO,NA2O,0.732611934446794
218,ROCK NAME,AL2O3,CR2O3,MGO,P2O5,0.7328311803197618
219,ROCK NAME,AL2O3,CR2O3,MNO,K2O,0.7328412328412298
220,ROCK NAME,AL2O3,CR2O3,MNO,NA2O,0.7328812743594012
221,ROCK NAME,AL2O3,CR2O3,MNO,P2O5,0.7328781773226188
222,ROCK NAME,AL2O3,CR2O3,K2O,NA2O,0.7329687972438319
223,ROCK NAME,AL2O3,CR2O3,K2O,P2O5,0.7327533577533548
224,ROCK NAME,AL2O3,CR2O3,NA2O,P2O5,0.7328901551123744
225,ROCK NAME,AL2O3,FEOT,CAO,MGO,0.7328786694568377
226,ROCK NAME,AL2O3,FEOT,CAO,MNO,0.7330555450966582
227,ROCK NAME,AL2O3,FEOT,CAO,K2O,0.7330850868862536
228,ROCK NAME,AL2O3,FEOT,CAO,NA2O,0.7332926925357757
229,ROCK NAME,AL2O3,FEOT,CAO,P2O5,0.7334076551467829
230,ROCK NAME,AL2O3,FEOT,MGO,MNO,0.7334435112212863
231,ROCK NAME,AL2O3,FEOT,MGO,K2O,0.733536365720271
232,ROCK NAME,AL2O3,FEOT,MGO,NA2O,0.7336121198782116
233,ROCK NAME,AL2O3,FEOT,MGO,P2O5,0.7337196938336513
234,ROCK NAME,AL2O3,FEOT,MNO,K2O,0.7336242953264202
235,ROCK NAME,AL2O3,FEOT,MNO,NA2O,0.7336866418787295
236,ROCK NAME,AL2O3,FEOT,MNO,P2O5,0.7337324341543723
237,ROCK NAME,AL2O3,FEOT,K2O,NA2O,0.7337858220211133
238,ROCK NAME,AL2O3,FEOT,K2O,P2O5,0.733787107566742
239,ROCK NAME,AL2O3,FEOT,NA2O,P2O5,0.7337725546058852
240,ROCK NAME,AL2O3,CAO,MGO,MNO,0.7338684572432816
241,ROCK NAME,AL2O3,CAO,MGO,K2O,0.7338693853845344
242,ROCK NAME,AL2O3,CAO,MGO,NA2O,0.7339289273445626
243,ROCK NAME,AL2O3,CAO,MGO,P2O5,0.7339918733361331
244,ROCK NAME,AL2O3,CAO,MNO,K2O,0.7342481152004937
245,ROCK NAME,AL2O3,CAO,MNO,NA2O,0.7343169727993551
246,ROCK NAME,AL2O3,CAO,MNO,P2O5,0.7342929974508896
247,ROCK NAME,AL2O3,CAO,K2O,NA2O,0.7343649480746229
248,ROCK NAME,AL2O3,CAO,K2O,P2O5,0.7345049714527602
249,ROCK NAME,AL2O3,CAO,NA2O,P2O5,0.7346400759734067
250,ROCK NAME,AL2O3,MGO,MNO,K2O,0.7346265460475263
251,ROCK NAME,AL2O3,MGO,MNO,NA2O,0.7345452901008432
252,ROCK NAME,AL2O3,MGO,MNO,P2O5,0.7344871982553118
253,ROCK NAME,AL2O3,MGO,K2O,NA2O,0.7344519969191861
254,ROCK NAME,AL2O3,MGO,K2O,P2O5,0.734338863750626
255,ROCK NAME,AL2O3,MGO,NA2O,P2O5,0.7343490325261133
256,ROCK NAME,AL2O3,MNO,K2O,NA2O,0.7343295605292984
257,ROCK NAME,AL2O3,MNO,K2O,P2O5,0.7344537938853158
258,ROCK NAME,AL2O3,MNO,NA2O,P2O5,0.7342764009430649
259,ROCK NAME,AL2O3,K2O,NA2O,P2O5,0.7342866535174203
260,ROCK NAME,CR2O3,FEOT,CAO,MGO,0.7345078647760614
261,ROCK NAME,CR2O3,FEOT,CAO,MNO,0.7346802664868798
262,ROCK NAME,CR2O3,FEOT,CAO,K2O,0.7347430300535472
263,ROCK NAME,CR2O3,FEOT,CAO,NA2O,0.7348376931710241
264,ROCK NAME,CR2O3,FEOT,CAO,P2O5,0.7349316418498785
265,ROCK NAME,CR2O3,FEOT,MGO,MNO,0.7347892523331094
266,ROCK NAME,CR2O3,FEOT,MGO,K2O,0.7345874636761004
267,ROCK NAME,CR2O3,FEOT,MGO,NA2O,0.7346777508469027
268,ROCK NAME,CR2O3,FEOT,MGO,P2O5,0.7345696664160085
269,ROCK NAME,CR2O3,FEOT,MNO,K2O,0.733962927790086
270,ROCK NAME,CR2O3,FEOT,MNO,NA2O,0.7338127227426098
271,ROCK NAME,CR2O3,FEOT,MNO,P2O5,0.7332586168370461
272,ROCK NAME,CR2O3,FEOT,K2O,NA2O,0.7330390407313463
273,ROCK NAME,CR2O3,FEOT,K2O,P2O5,0.7324259501875052
274,ROCK NAME,CR2O3,FEOT,NA2O,P2O5,0.73226625226625
275,ROCK NAME,CR2O3,CAO,MGO,MNO,0.7323623326038762
276,ROCK NAME,CR2O3,CAO,MGO,K2O,0.7325948553385354
277,ROCK NAME,CR2O3,CAO,MGO,NA2O,0.7327334713425817
278,ROCK NAME,CR2O3,CAO,MGO,P2O5,0.7328200362847892
279,ROCK NAME,CR2O3,CAO,MNO,K2O,0.7329907746574392
280,ROCK NAME,CR2O3,CAO,MNO,NA2O,0.7332076122111688
281,ROCK NAME,CR2O3,CAO,MNO,P2O5,0.733385868137639
282,ROCK NAME,CR2O3,CAO,K2O,NA2O,0.7334118570867666
283,ROCK NAME,CR2O3,CAO,K2O,P2O5,0.7333406899134578
284,ROCK NAME,CR2O3,CAO,NA2O,P2O5,0.7333666550040798
285,ROCK NAME,CR2O3,MGO,MNO,K2O,0.7332529768427184
286,ROCK NAME,CR2O3,MGO,MNO,NA2O,0.7331831071668449
287,ROCK NAME,CR2O3,MGO,MNO,P2O5,0.7329653371320017
288,ROCK NAME,CR2O3,MGO,K2O,NA2O,0.7328870881350676
289,ROCK NAME,CR2O3,MGO,K2O,P2O5,0.7325834233880191
290,ROCK NAME,CR2O3,MGO,NA2O,P2O5,0.7324711265146526
291,ROCK NAME,CR2O3,MNO,K2O,NA2O,0.7322262550573033
292,ROCK NAME,CR2O3,MNO,K2O,P2O5,0.731594112709014
293,ROCK NAME,CR2O3,MNO,NA2O,P2O5,0.7313700408938484
294,ROCK NAME,CR2O3,K2O,NA2O,P2O5,0.7311507074218917
295,ROCK NAME,FEOT,CAO,MGO,MNO,0.7313306896640208
296,ROCK NAME,FEOT,CAO,MGO,K2O,0.7315702130516923
297,ROCK NAME,FEOT,CAO,MGO,NA2O,0.7318272497243392
298,ROCK NAME,FEOT,CAO,MGO,P2O5,0.7320190441706583
299,ROCK NAME,FEOT,CAO,MNO,K2O,0.7321209243431442
300,ROCK NAME,FEOT,CAO,MNO,NA2O,0.7320769956428848
301,ROCK NAME,FEOT,CAO,MNO,P2O5,0.732149707867145
302,ROCK NAME,FEOT,CAO,K2O,NA2O,0.7323034297731744
303,ROCK NAME,FEOT,CAO,K2O,P2O5,0.7324592642575076
304,ROCK NAME,FEOT,CAO,NA2O,P2O5,0.7326203042050013
305,ROCK NAME,FEOT,MGO,MNO,K2O,0.7325102880658413
306,ROCK NAME,FEOT,MGO,MNO,NA2O,0.7326762994515414
307,ROCK NAME,FEOT,MGO,MNO,P2O5,0.7325914825914802
308,ROCK NAME,FEOT,MGO,K2O,NA2O,0.7326578092489611
309,ROCK NAME,FEOT,MGO,K2O,P2O5,0.7324816959225537
310,ROCK NAME,FEOT,MGO,NA2O,P2O5,0.7324258053089756
311,ROCK NAME,FEOT,MNO,K2O,NA2O,0.7322972216134588
312,ROCK NAME,FEOT,MNO,K2O,P2O5,0.7318721195185498
313,ROCK NAME,FEOT,MNO,NA2O,P2O5,0.7316372390682347
314,ROCK NAME,FEOT,K2O,NA2O,P2O5,0.7314159091936849
315,ROCK NAME,CAO,MGO,MNO,K2O,0.7315025184223476
316,ROCK NAME,CAO,MGO,MNO,NA2O,0.7315346568764005
317,ROCK NAME,CAO,MGO,MNO,P2O5,0.7314650564126437
318,ROCK NAME,CAO,MGO,K2O,NA2O,0.7315477200534654
319,ROCK NAME,CAO,MGO,K2O,P2O5,0.7316417378917358
320,ROCK NAME,CAO,MGO,NA2O,P2O5,0.7317617961439331
321,ROCK NAME,CAO,MNO,K2O,NA2O,0.7318693115794543
322,ROCK NAME,CAO,MNO,K2O,P2O5,0.731920298483764
323,ROCK NAME,CAO,MNO,NA2O,P2O5,0.7321175242985922
324,ROCK NAME,CAO,K2O,NA2O,P2O5,0.7321294470012399
325,ROCK NAME,MGO,MNO,K2O,NA2O,0.7321325572859296
326,ROCK NAME,MGO,MNO,K2O,P2O5,0.7320020561610756
327,ROCK NAME,MGO,MNO,NA2O,P2O5,0.7318376068376049
328,ROCK NAME,MGO,K2O,NA2O,P2O5,0.7318791006734251
329,ROCK NAME,MNO,K2O,NA2O,P2O5,0.7317620650953967
