ROCK NAME,SIO2,MGO,CAO,MNO
HARZBURGITE,41.49,43.38,1.18,0.15
HARZBURGITE,38.87,40.03,1.49,0.12
HARZBURGITE,41.07,41.43,1.58,0.18
HARZBURGITE,43.21,43.08,0.54,0.17
HARZBURGITE,40.46,38.94,0.08,0.1
HARZBURGITE,40.89,38.42,0.0,0.06
HARZBURGITE,40.07,37.72,0.0,0.06
HARZBURGITE,46.6,24.68,5.97,0.25
HARZBURGITE,42.64,36.84,2.87,0.13
HARZBURGITE,38.5,36.4,0.1,0.08
HARZBURGITE,38.0,37.85,0.11,0.11
HARZBURGITE,41.95,34.25,0.28,0.1
HARZBURGITE,55.23,35.67,0.75,0.12
HARZBURGITE,44.69,45.23,0.24,0.13
HARZBURGITE,44.31,45.81,0.37,0.12
HARZBURGITE,43.89,45.71,0.56,0.12
HARZBURGITE,38.55,38.01,0.35,0.11
HARZBURGITE,39.23,36.81,0.32,0.12
HARZBURGITE,41.89,37.63,0.48,0.13
HARZBURGITE,36.66,38.26,0.32,0.11
HARZBURGITE,38.02,35.47,0.05,0.11
HARZBURGITE,38.23,40.62,0.28,0.11
HARZBURGITE,37.45,38.24,0.0,0.11
HARZBURGITE,38.19,39.09,0.17,0.11
HARZBURGITE,39.11,40.34,0.57,0.11
HARZBURGITE,39.67,37.63,0.03,0.08
HARZBURGITE,44.63,40.82,0.04,0.11
HARZBURGITE,41.16,35.95,0.07,0.09
HARZBURGITE,39.93,35.4,0.02,0.1
HARZBURGITE,39.39,35.23,0.17,0.11
HARZBURGITE,39.24,33.71,0.04,0.11
HARZBURGITE,39.71,36.13,0.06,0.11
HARZBURGITE,40.92,38.13,0.12,0.12
HARZBURGITE,42.77,36.94,0.03,0.15
HARZBURGITE,37.81,37.29,0.12,0.14
HARZBURGITE,37.04,36.68,0.72,0.16
HARZBURGITE,37.45,34.58,1.87,0.14
HARZBURGITE,36.17,37.71,0.66,0.13
HARZBURGITE,36.76,36.5,0.79,0.15
HARZBURGITE,36.65,36.57,0.96,0.15
HARZBURGITE,43.87,46.65,0.52,0.132
HARZBURGITE,43.99,46.36,0.48,0.127
HARZBURGITE,43.98,45.46,0.7,0.127
HARZBURGITE,43.91,45.88,0.61,0.131
HARZBURGITE,41.13,48.23,0.82,0.14
HARZBURGITE,43.57,46.34,0.72,0.13
HARZBURGITE,43.93,44.86,1.22,0.13
HARZBURGITE,44.12,48.38,0.3,0.13
HARZBURGITE,42.5,48.38,0.59,0.13
HARZBURGITE,44.18,47.71,0.52,0.12
