ROCK NAME,SIO2,TIO2,AL2O3,MGO,CAO,MNO
HARZBURGITE,39.23,0.008,0.95,36.81,0.32,0.12
HARZBURGITE,41.89,0.007,0.85,37.63,0.48,0.13
HARZBURGITE,36.66,0.005,0.7,38.26,0.32,0.11
HARZBURGITE,38.02,0.005,0.86,35.47,0.05,0.11
HARZBURGITE,38.23,0.016,0.7,40.62,0.28,0.11
HARZBURGITE,37.45,0.006,0.57,38.24,0.0,0.11
HARZBURGITE,38.19,0.004,0.34,39.09,0.17,0.11
HARZBURGITE,39.11,0.002,0.33,40.34,0.57,0.11
HARZBURGITE,39.67,0.008,0.52,37.63,0.03,0.08
HARZBURGITE,44.63,0.008,0.43,40.82,0.04,0.11
HARZBURGITE,41.16,0.006,0.44,35.95,0.07,0.09
HARZBURGITE,39.93,0.004,0.27,35.4,0.02,0.1
HARZBURGITE,39.39,0.003,0.19,35.23,0.17,0.11
HARZBURGITE,39.24,0.003,0.17,33.71,0.04,0.11
HARZBURGITE,39.71,0.004,0.12,36.13,0.06,0.11
HARZBURGITE,40.92,0.01,0.53,38.13,0.12,0.12
HARZBURGITE,42.77,0.03,1.67,36.94,0.03,0.15
HARZBURGITE,37.81,0.01,1.59,37.29,0.12,0.14
HARZBURGITE,37.04,0.02,0.6,36.68,0.72,0.16
HARZBURGITE,37.45,0.02,0.62,34.58,1.87,0.14
HARZBURGITE,36.17,0.02,0.51,37.71,0.66,0.13
HARZBURGITE,36.76,0.01,0.58,36.5,0.79,0.15
HARZBURGITE,36.65,0.02,0.72,36.57,0.96,0.15
HARZBURGITE,43.87,0.004,0.53,46.65,0.52,0.132
HARZBURGITE,43.99,0.002,0.45,46.36,0.48,0.127
HARZBURGITE,43.98,0.005,0.78,45.46,0.7,0.127
HARZBURGITE,43.91,0.005,0.56,45.88,0.61,0.131
HARZBURGITE,41.13,0.02,0.4,48.23,0.82,0.14
HARZBURGITE,43.57,0.01,0.87,46.34,0.72,0.13
HARZBURGITE,43.93,0.01,1.03,44.86,1.22,0.13
HARZBURGITE,44.12,0.01,0.38,48.38,0.3,0.13
HARZBURGITE,42.5,0.02,0.38,48.38,0.59,0.13
HARZBURGITE,44.18,0.01,0.52,47.71,0.52,0.12
HARZBURGITE,43.99,0.07,0.82,46.2,0.59,0.12
HARZBURGITE,44.23,0.04,0.86,46.52,1.13,0.12
HARZBURGITE,40.79,0.03,0.59,48.09,1.05,0.14
HARZBURGITE,40.46,0.03,0.47,47.59,0.85,0.14
HARZBURGITE,36.78,0.04,0.88,50.43,0.38,0.14
HARZBURGITE,37.2,0.04,0.34,48.41,0.6,0.16
HARZBURGITE,39.78,0.06,0.61,46.64,0.85,0.15
HARZBURGITE,39.41,0.03,0.45,47.78,0.53,0.15
HARZBURGITE,39.97,0.03,0.41,47.21,0.63,0.15
HARZBURGITE,39.78,0.03,0.31,47.89,0.56,0.15
HARZBURGITE,38.84,0.03,0.21,49.44,0.35,0.13
HARZBURGITE,40.62,0.03,0.41,48.15,0.38,0.13
HARZBURGITE,42.61,0.01,0.64,45.94,0.33,0.12
HARZBURGITE,43.53,0.02,0.74,46.01,0.69,0.12
HARZBURGITE,43.81,0.01,0.55,46.53,0.6,0.12
HARZBURGITE,44.45,0.0,0.54,46.41,0.7,0.12
HARZBURGITE,43.92,0.01,0.56,47.17,0.53,0.12
HARZBURGITE,44.3,0.02,1.3,43.0,1.9,0.13
HARZBURGITE,39.8,0.04,2.18,38.9,2.0,0.12
HARZBURGITE,41.7,0.04,2.28,39.0,2.86,0.14
HARZBURGITE,42.7,0.03,1.91,40.7,2.07,0.13
HARZBURGITE,41.8,0.04,2.22,39.7,2.21,0.13
HARZBURGITE,41.7,0.03,2.0,38.9,2.09,0.12
