,SIO2,CAO,AL2O3,MGO,Classification
492,44.45,2.42,2.76,48.7,Lherzolite
493,44.65,2.79,2.76,48.3407,Lherzolite
494,46.45,2.63,2.76,47.77,Lherzolite
495,44.7,1.85,3.1,51.48999,Lherzolite
496,44.3,1.81,2.77,49.2617,Lherzolite
497,43.62,2.5,2.79,49.06231,Lherzolite
498,41.42,4.42,2.79,49.6322,Wehrlite
499,44.1,3.07,2.8,47.67001,Lherzolite
500,44.2,2.6,2.8,49.2,Lherzolite
501,44.84,2.98,2.8,48.64888,Lherzolite
502,42.23,3.76,3.22,48.036770000000004,Lherzolite
503,45.1,3.0,2.81,47.41575,Lherzolite
504,44.6,2.99,2.82,47.42,Lherzolite
505,44.01,2.16,2.82,49.480290000000004,Lherzolite
506,44.42,2.57,2.82,49.63,Lherzolite
507,44.15,2.18,3.19,49.08,Lherzolite
508,46.62,3.57,2.83,46.11,Lherzolite
509,43.83,2.3,2.83,50.83,Lherzolite
510,44.94,1.16,3.02,49.43274,Lherzolite
511,44.37,2.74,2.84,49.54,Lherzolite
512,45.81,1.45,3.53,48.95,Lherzolite
513,43.8,4.35,2.85,44.94494,Lherzolite
514,44.99,3.1,2.85,46.36083,Lherzolite
515,43.74,2.18,3.56,49.80144,Lherzolite
516,43.94644411,2.369971258,2.856368878,50.00196066,Lherzolite
517,44.41,2.35,2.86,48.21332,Lherzolite
518,42.09,4.18,2.86,48.42,Lherzolite
519,44.01,2.68,3.193,48.81,Lherzolite
520,45.2,2.92,2.86,48.102740000000004,Lherzolite
521,45.07,2.07,3.24,48.63,Lherzolite
522,44.42,2.89,2.87,49.65,Lherzolite
523,44.65,4.25,3.24,49.218070000000004,Lherzolite
524,44.6,2.57,3.29,48.4489,Lherzolite
525,44.22,2.15,2.88,49.71322,Lherzolite
526,45.0,2.38,2.89,47.59433,Lherzolite
527,44.9,2.77,2.89,47.208870000000005,Lherzolite
528,44.45,2.35,2.89,48.08433,Lherzolite
529,45.55,2.83,2.89,48.39,Lherzolite
